#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
652,FREEZEDRY,Freeze-Dry,Beauty,3,0,015,"Can be repeatedly used without boring the judge."
653,AURORAVEIL,Aurora Veil,Beauty,1,0,002,"Can avoid being startled by others."
#---------------------------------
654,BOOMBURST,Boomburst,Tough,4,4,018,"Makes a great appeal, but allows no more to the end."
655,MULTIATTACK,Multi-Attack,Cool,3,0,025,"Works well if its the same type as the one before."
656,REVELATIONDANCE,Revelation Dance,Beauty,4,0,003,"The next appeal can be made earlier next turn."
657,SMELLINGSALTS,Smelling Salts,Smart,2,3,005,"Startles the Pokemon that appealed before the user."
658,HOLDBACK,Hold Back,Cool,4,0,013,"Temporarily stops the crowd from growing excited."
659,CELEBRATE,Celebrate,Cute,2,0,015,"Can be repeatedly used without boring the judge."
660,CONFIDE,Confide,Cute,3,0,005,"Startles the Pokemon that appealed before the user."
661,HAPPYHOUR,Happy Hour,Cute,2,0,015,"Can be repeatedly used without boring the judge."
662,HOLDHANDS,Hold Hands,Cute,1,0,002,"Can avoid being startled by others."
663,LASERFOCUS,Laser Focus,Smart,0,0,027,"User earns double the score in it's next appeal."
664,NOBLEROAR,Noble Roar,Tough,2,0,014,"The appeal works great if performed first."
665,PLAYNICE,Play Nice,Cute,1,0,036,"Increases if crowd excitement increases."
666,SPOTLIGHT,Spotlight,Beauty,0,0,027,"User earns double the score in it's next appeal."
667,TEARFULLOOK,Tearful Look,Cute,1,0,002,"Can avoid being startled by others."
#---------------------------------
668,BELCH,Belch,Tough,1,3,005,"Badly startles those that have made appeals."
669,POISONFANG,Poison Fang,Smart,3,0,005,"Badly startles those that have made appeals."
670,BANEFULBUNKER,Baneful Bunker,Smart,1,0,002,"Can avoid being startled by others."
671,PURIFY,Purify,Smart,2,0,001,"Can avoid being startled by others once."
672,TOXICTHREAD,Toxic Thread,Smart,2,3,008,"Badly startles the Pokemon in front."
673,VENOMDRENCH,Venom Drench,Smart,3,0,005,"Badly startles those that have made appeals."
#----------------------------------
674,PRISMATICLASER,Prismatic Laser,Beauty,4,0,000,"A highly appealing move."
675,PHOTONGEYSER,Photon Geyser,Smart,2,0,014,"The appeal works great if performed first."
676,PSYCHICFANGS,Psychic Fangs,Tough,3,0,000,"A highly appealing move."
677,HYPERSPACEHOLE,Hyperspace Hole,Tough,3,0,014,"The appeal works great if performed first."
678,INSTRUCT,Instruct,Smart,0,0,027,"User earns double the score in it's next appeal."
679,PSYCHICTERRAIN,Psychic Terrain,Beauty,3,0,014,"The appeal works great if performed first."
680,SPEEDSWAP,Speed Swap,Smart,3,0,003,"The next appeal can be made earlier next turn."
#---------------------------------
681,DIAMONDSTORM,Diamond Storm,Beauty,3,0,021,"The appeal works great if performed last."
682,ACCELEROCK,Accelerock,Smart,3,0,003,"The next appeal can be made earlier next turn."
#---------------------------------
683,SUNSTEELSTRIKE,Sunsteel Strike,Beauty,4,0,000,"A highly appealing move."
684,ANCHORSHOT,Anchor Shot,Tough,4,0,013,"Temporarily stops the crowd from growing excited."
685,SMARTSTRIKE,Smart Strike,Smart,2,3,008,"Badly startles the Pokemon in front."
686,DOUBLEIRONBASH,Double Iron Bash,Cool,2,0,025,"Works well if its the same type as the one before."
687,GEARUP,Gear Up,Smart,0,0,027,"User earns double the score in it's next appeal."
688,KINGSSHIELD,King's Shield,Cool,1,0,002,"Can avoid being startled by others."
#---------------------------------
689,ORIGINPULSE,Origin Pulse,Beauty,3,0,014,"The appeal works great if performed first."
690,STEAMERUPTION,Steam Eruption,Beauty,3,0,021,"The appeal works great if performed last."
691,SPARKLINGARIA,Sparkling Aria,Beauty,3,0,005,"Badly startles those that have made appeals."
692,LIQUIDATION,Liquidation,Smart,2,3,008,"Badly startles the Pokemon in front."
693,WATERSHURIKEN,Water Shuriken,Cool,3,0,003,"The next appeal can be made earlier next turn."
